id;first_name;last_name;email;modules;Section
1756;Cindra;Trussler;cindratrussler@supinfo.com;1ITWO;Tours21
1112;Stanly;Pimm;stanlypimm@supinfo.com;1TEAM;Caen21
1314;Arabel;Sisneros;arabelsisneros@supinfo.com;5DATA;Distanciel21
1663;Abagail;Trussman;abagailtrussman@supinfo.com;3ASPC;Caen21
1551;Candra;Isaacs;candraisaacs@supinfo.com;1TEAM;Paris21
1448;Neile;Climer;neileclimer@supinfo.com;3LPIC;Lille21
1415;Kenon;Jenkinson;kenonjenkinson@supinfo.com;5RBIG;Distanciel21
52;Marybeth;Kener;marybethkener@supinfo.com;3ANDM;Tours21
162;Mina;Trenbay;minatrenbay@supinfo.com;5DOOP;Paris21
735;Wyatt;Tryhorn;wyatttryhorn@supinfo.com;2DVST;Tours21
894;Janetta;Olivo;janettaolivo@supinfo.com;1WORK;Lyon21
216;Koenraad;Maykin;koenraadmaykin@supinfo.com;4BOSS;Lille21
893;Vassili;Handrok;vassilihandrok@supinfo.com;4CHGM;Paris21
1338;Teddi;Cicchitello;teddicicchitello@supinfo.com;4DOCKR;Caen21
1916;Joni;Snasel;jonisnasel@supinfo.com;4AZUR;Paris21
1583;Kym;Moller;kymmoller@supinfo.com;3CCNA;Caen21
930;Norris;Whitehouse;norriswhitehouse@supinfo.com;1WORK;Distanciel21
951;Darline;Hardinge;darlinehardinge@supinfo.com;4BOSS;Tours21
1265;Amelie;Baggaley;ameliebaggaley@supinfo.com;4BINT;Caen21
1800;Saleem;Ewence;saleemewence@supinfo.com;4CHGM;Paris21
681;Wynny;Alsina;wynnyalsina@supinfo.com;3LPIC;Lyon21
513;Perl;D'Arrigo;perld'arrigo@supinfo.com;4GDPR;Lille21
275;Rosella;Walasik;rosellawalasik@supinfo.com;2DVST;Tours21
272;Danice;Pentecust;danicepentecust@supinfo.com;4GDPR;Lyon21
840;Deane;Bocken;deanebocken@supinfo.com;3CCNA;Paris21
1395;Evelyn;Helling;evelynhelling@supinfo.com;3ANDM;Lille21
1769;Monika;Englefield;monikaenglefield@supinfo.com;4SECU;Lille21
192;Odette;Shiel;odetteshiel@supinfo.com;3CCNA;Paris21
993;Ralph;Rattenbury;ralphrattenbury@supinfo.com;5DOOP;Tours21
192;Meriel;Friett;merielfriett@supinfo.com;2DVST;Lille21
1843;Clemente;Ellingford;clementeellingford@supinfo.com;3ASPC;Paris21
1628;Barbabra;Kinnett;barbabrakinnett@supinfo.com;4DOCKR;Lille21
1195;Rheba;Clamp;rhebaclamp@supinfo.com;2DVST;Distanciel21
626;Wilma;Willoughey;wilmawilloughey@supinfo.com;5DOOP;Caen21
861;Noel;Hussy;noelhussy@supinfo.com;4DOCKR;Tours21
1218;Gaspar;Lowdwell;gasparlowdwell@supinfo.com;5BLOC;Distanciel21
1476;Sylvan;Barbe;sylvanbarbe@supinfo.com;3LPIC;Lille21
1865;Vivianne;Goldis;viviannegoldis@supinfo.com;3ASPC;Distanciel21
1439;Worthy;Crumley;worthycrumley@supinfo.com;5DOOP;Lille21
1498;Lockwood;Playfair;lockwoodplayfair@supinfo.com;3LPIC;Lyon21
589;Katharine;Haverson;katharinehaverson@supinfo.com;2GRAP;Paris21
597;Ave;Macallam;avemacallam@supinfo.com;4DOCKR;Distanciel21
1710;Rozalie;Denyukin;rozaliedenyukin@supinfo.com;1WORK;Caen21
126;Glori;St. Aubyn;glorist. aubyn@supinfo.com;4SECU;Paris21
1129;Aguie;Van Der Walt;aguievan der walt@supinfo.com;4DOCKR;Caen21
753;Sonia;Reeme;soniareeme@supinfo.com;5DATA;Lille21
160;Oralee;Demageard;oraleedemageard@supinfo.com;2DTTL;Lille21
1544;Dianemarie;Castane;dianemariecastane@supinfo.com;4BINT;Lyon21
