id;first_name;last_name;email;campus;level;speciality;1WORK;1WDEV;1ITWO;1TEAM;1PYTH;1O365;2JAVA;2PHPD;2GRAP;2DTTL;2DVST;2AWSP;3ANDM;3CCNA;3ASPC;3LPIC;3AGIL;4AZUR;4BOSS;4GDPR;4DOCKR;4CHGM;4BINT;4SECU;5CCNA;5DATA;5DOOP;5ITIL;5RBIG;5BLOC;5MDD
827;Rich;Murdoch;richmurdoch@supinfo.com;Tours;;;16.12;13.54;12.06;14.02;8.45;19.0;14.87;13.82;11.02;7.29;12.96;12.32;10.91;13.92;7.51;12.49;10.7;10.47;12.01;15.51;10.24;12.29;11.53;16.18;;;;;;;
1857;Mano;Excell;manoexcell@supinfo.com;Distanciel;M.ENG 1;Intelligence Artificielle;10.39;13.5;10.32;16.62;7.71;12.62;16.77;15.06;5.81;9.75;16.73;8.38;4.14;7.93;11.89;12.48;1.75;13.58;15.24;17.33;8.33;19.0;11.83;18.36;;;;;;;
562;Orly;Giacobilio;orlygiacobilio@supinfo.com;Distanciel;;;18.78;11.63;6.03;10.53;11.7;12.76;14.6;16.42;10.33;17.52;9.45;10.34;5.62;11.84;14.42;12.35;2.83;;;;;;;;;;;;;;
304;Raoul;Walkowski;raoulwalkowski@supinfo.com;Distanciel;;;;;;;;;;;;;;;;;;;;12.04;19.0;17.25;13.75;15.89;10.53;9.28;6.27;15.75;18.57;12.62;10.25;16.84;
1752;Martelle;Crowley;martellecrowley@supinfo.com;Tours;;;17.96;18.54;10.93;18.79;16.84;12.56;14.36;16.01;7.14;10.73;18.64;16.22;;;;;;;;;;;;;;;;;;;
800;Andra;Itzik;andraitzik@supinfo.com;Distanciel;;;;;;;;;;;;;;;;;;;;14.26;14.57;15.99;15.45;18.11;3.86;17.11;12.12;12.73;13.42;18.71;8.09;17.89;
1120;Isidore;Jouannin;isidorejouannin@supinfo.com;Distanciel;;;17.95;15.84;8.22;7.06;8.39;15.98;0.73;19.0;14.02;9.12;20.0;9.84;12.67;16.82;16.87;12.98;8.17;10.94;15.81;16.83;12.74;9.81;10.66;10.44;13.23;12.61;10.24;13.31;12.36;11.18;
1828;Carlyn;Nesby;carlynnesby@supinfo.com;Distanciel;;;14.99;9.15;11.49;7.21;12.28;13.73;;;;;;;;;;;;;;;;;;;;;;;;;
1979;Marji;Galliard;marjigalliard@supinfo.com;Distanciel;;;;;;;;;9.28;14.25;15.49;13.19.0;20.0;14.81;2.94;12.77;4.49;12.8;8.34;14.24;15.12;17.58;12.52;8.41;14.08;17.86;;;;;;;
1428;Oneida;Klimschak;oneidaklimschak@supinfo.com;Distanciel;;;;;;;;;;;;;;;;;;;;13.01;15.51;14.98;13.07;18.56;11.51;7.75;;;;;;;
1346;Olympia;Bugg;olympiabugg@supinfo.com;Distanciel;M.ENG 2;Intelligence Artificielle;15.5;18.28;16.37;15.46;14.67;14.29;10.55;16.1;17.04;12.96;8.72;20.0;12.85;10.45;9.35;12.82;12.07;10.16;18.42;14.2;16.46;14.83;7.44;7.66;13.77;14.06;17.1;5.7;8.93;13.89;
552;Minne;Mougenel;minnemougenel@supinfo.com;Distanciel;;;10.82;9.97;13.06;6.98;8.76;15.89;7.56;18.57;0.0;15.82;11.1;11.15;12.5;9.17;14.79;14.48;9.68;9.88;13.74;13.78;13.9;14.83;15.08;13.32;9.53;18.78;12.27;10.25;13.82;19.0;
328;Theressa;Reneke;theressareneke@supinfo.com;Distanciel;;;14.31;11.61;6.23;18.53;12.59;9.89;;;;;;;;;;;;;;;;;;;;;;;;;
1419;Zacharia;Strathe;zachariastrathe@supinfo.com;Distanciel;;;13.07;11.46;12.26;9.31;12.36;16.09;;;;;;;;;;;;;;;;;;;;;;;;;
619;Doyle;MacConnechie;doylemacconnechie@supinfo.com;Distanciel;;;17.33;8.87;14.99;7.77;6.6;17.28;19.0;15.75;20.0;21.66;12.41;11.12;18.5;13.49;9.77;16.69;10.06;;;;;;;;;;;;;;
1209;Lorna;Bonhome;lornabonhome@supinfo.com;Distanciel;;;17.69;16.5;8.31;12.47;13.22;12.97;5.47;8.12;9.41;6.18;14.03;13.39;10.99;10.85;15.68;13.18;12.16;14.47;17.6;15.08;10.39;16.16;10.23;19.0;;;;;;;
876;Elysia;Westphal;elysiawestphal@supinfo.com;Distanciel;M.ENG 2;Data Engineering;;;;;;;;;;;;;;;;;;13.42;16.35;13.17;17.92;14.58;10.58;12.32;9.77;13.78;17.04;8.46;13.95;19.0;
92;Bone;Balfe;bonebalfe@supinfo.com;Distanciel;;;10.0;15.65;16.38;15.5;14.14;15.06;9.89;9.33;14.59;14.3;15.69;14.2;;;;;;;;;;;;;;;;;;;
571;Kippy;Shoveller;kippyshoveller@supinfo.com;Caen;;;15.33;5.53;12.44;12.56;14.44;11.27;19.0;16.72;13.05;13.18;12.42;13.62;16.84;14.98;13.05;2.05;11.46;;;;;;;;;;;;;;
1122;Sidney;Melbourne;sidneymelbourne@supinfo.com;Distanciel;M.ENG 2;Intelligence Artificielle;14.21;4.3;12.46;16.52;13.18;16.26;20.0;21.25;11.29;8.96;20.0;8.42;10.12;11.24;12.97;9.29;8.37;12.78;16.87;15.29;12.92;18.54;13.29;19.0;13.52;10.13;15.93;13.17;14.28;18.57;
1732;Morganica;Spira;morganicaspira@supinfo.com;Distanciel;;;17.59;13.43;3.51;13.34;8.93;13.76;17.07;17.12;7.74;6.91;8.38;7.1;16.18;15.0;9.16;9.56;8.91;;;;;;;;;;;;;;
1706;Andras;January 1st;andrasjanuary 1st@supinfo.com;Tours;;;;;;;;;;;;;;;19.0;13.85;10.66;13.12;18.26;16.37;15.38;17.31;9.08;19.0;15.33;4.78;17.45;15.79;8.84;9.97;13.1;14.11;
363;Selie;Neubigging;selieneubigging@supinfo.com;Distanciel;B.ENG 3;;17.6;15.5;9.46;8.09;5.64;19.0;9.95;16.89;10.09;10.33;10.99;10.56;13.07;18.56;11.87;12.74;15.1;;;;;;;;;;;;;;
973;Eolande;Leijs;eolandeleijs@supinfo.com;Caen;M.ENG 2;Intelligence Artificielle;;;;;;;;;;;;;;;;;;13.8;14.29;18.77;12.04;16.18;19.0;14.45;10.64;22.0;12.54;13.44;15.22;17.9;
1834;Prissie;Mebius;prissiemebius@supinfo.com;Distanciel;;;13.27;14.27;8.2;13.83;7.5;19.0;14.8;16.43;6.92;12.28;14.78;15.0;;;;;;;;;;;;;;;;;;;
1386;Derick;Haburne;derickhaburne@supinfo.com;Distanciel;;;;;;;;;;;;;;;;;;;;13.9;18.29;13.08;13.5;12.92;14.44;11.12;18.31;9.08;12.97;12.58;13.74;17.45;
1171;Marlon;Ogbourne;marlonogbourne@supinfo.com;Distanciel;M.ENG 2;Intelligence Artificielle;14.53;12.65;12.9;9.52;12.51;19.0;1.4;15.46;1.32;2.66;9.77;6.61;7.59;16.12;14.35;5.06;14.59;15.16;14.59;17.56;11.66;9.18;17.08;15.63;8.32;15.83;9.99;10.82;9.68;15.98;
990;Michaeline;Saddleton;michaelinesaddleton@supinfo.com;Distanciel;;;15.5;10.99;15.24;15.21;12.93;14.28;11.44;19.0;8.83;6.61;10.33;7.31;;;;;;;;;;;;;;;;;;;
1688;Lydia;Hackelton;lydiahackelton@supinfo.com;Distanciel;M.ENG 1;Intelligence Artificielle;10.9;7.94;14.43;13.67;16.31;12.36;15.72;16.01;13.55;8.14;13.54;9.34;9.22;7.78;12.19.0;22.36;13.7;10.51;16.91;14.21;8.05;15.23;16.06;16.61;;;;;;;
1691;Allyce;Balentyne;allycebalentyne@supinfo.com;Caen;;;13.37;8.97;13.24;13.8;19.0;16.91;23.2;13.74;13.67;9.03;7.56;10.51;;;;;;;;;;;;;;;;;;;
1056;Jeffry;Weth;jeffryweth@supinfo.com;Distanciel;B.ENG 3;;12.27;15.29;16.19.0;4.76;15.18;10.48;16.72;8.05;11.2;16.5;4.19.0;10.75;19.0;12.99;8.44;8.4;12.87;;;;;;;;;;;;;;
1695;Emlynn;Cropton;emlynncropton@supinfo.com;Distanciel;;;;;;;;;;;;;;;;;;;;12.9;16.1;15.28;12.97;13.7;12.44;13.78;10.49;14.2;17.05;14.0;10.97;15.87;
1961;Zeke;Knevet;zekeknevet@supinfo.com;Distanciel;;;14.66;12.53;13.8;7.11;13.36;17.31;;;;;;;;;;;;;;;;;;;;;;;;;
1651;Faye;Lorincz;fayelorincz@supinfo.com;Caen;;;11.75;14.57;7.15;15.5;11.08;17.2;16.31;10.67;2.64;2.93;15.7;7.81;5.64;14.66;22.73;17.82;12.57;14.4;14.01;17.16;14.93;15.01;21.56;13.17;15.6;7.56;15.13;19.0;11.57;17.03;
1507;Brett;Gillebride;brettgillebride@supinfo.com;Distanciel;;;16.17;0;13.97;10.13;9.34;10.86;9.4;15.91;18.39;22.91;12.32;10.47;13.49;11.52;16.14;6.0;14.01;;;;;;;;;;;;;;
988;Leandra;Oxborough;leandraoxborough@supinfo.com;Distanciel;B.ENG 2;;13.36;14.48;6.64;19.0;15.79;15.51;0.0;14.23;10.83;17.3;15.1;12.42;;;;;;;;;;;;;;;;;;;
1343;Vladamir;Zannutti;vladamirzannutti@supinfo.com;Distanciel;;;15.94;13.31;15.21;7.57;12.69;13.72;15.51;10.97;3.39;7.15;9.99;12.75;14.68;8.61;3.52;12.89;14.85;;;;;;;;;;;;;;
1381;Birk;Cullotey;birkcullotey@supinfo.com;Tours;;;;;;;;;11.45;14.45;15.12;16.47;5.85;14.66;15.7;11.07;18.37;19.0;13.36;15.13;13.93;15.82;10.26;16.98;15.6;12.2;14.99;14.14;13.22;6.63;15.82;21.42;
1950;Clyde;Rockwill;clyderockwill@supinfo.com;Caen;;;19.0;16.65;15.69;10.04;12.2;12.8;11.22;17.48;6.11;6.99;11.85;13.39;;;;;;;;;;;;;;;;;;;
416;Carissa;Wemyss;carissawemyss@supinfo.com;Distanciel;;;18.19.0;10.14;10.37;13.93;12.69;17.15;14.98;20.0;12.48;12.71;9.33;12.47;9.58;14.84;19.0;13.29;1.35;13.88;14.69;13.58;14.51;12.29;14.69;18.51;12.96;15.03;9.36;13.87;16.15;17.15;
55;Iona;Vasishchev;ionavasishchev@supinfo.com;Distanciel;;;10.55;12.95;5.15;18.94;13.53;14.63;15.87;10.54;10.81;6.87;12.29;9.6;5.94;9.4;9.29;10.7;14.32;11.38;11.69;15.81;9.87;14.79;15.1;13.42;5.21;12.95;13.49;8.7;10.56;14.43;
433;Symon;Mounsey;symonmounsey@supinfo.com;Caen;;;16.47;15.02;15.08;16.04;15.34;14.95;8.85;18.53;9.03;11.15;13.59;11.93;8.19.0;16.6;14.13;9.43;18.06;13.25;21.19.0;19.0;16.19.0;12.89;16.13;11.87;10.71;13.49;15.16;15.0;16.61;15.95;
574;Briana;Langeley;brianalangeley@supinfo.com;Tours;;;10.3;13.27;7.25;15.51;8.73;15.5;;;;;;;;;;;;;;;;;;;;;;;;;
743;Shandeigh;Son;shandeighson@supinfo.com;Caen;B.ENG 3;;13.76;15.5;9.28;19.0;9.86;13.99;5.57;17.75;5.64;18.74;17.09;10.14;19.0;13.66;8.38;6.91;9.23;;;;;;;;;;;;;;
17;Taylor;Yabsley;tayloryabsley@supinfo.com;Distanciel;;;;;;;;;;;;;;;13.23;9.23;0.0;18.51;10.96;11.78;14.97;14.91;12.39;17.34;6.99;16.28;11.9;13.27;12.57;12.41;9.88;17.65;
1658;Lowe;Thorneloe;lowethorneloe@supinfo.com;Caen;;;;;;;;;12.71;17.45;13.39;10.59;17.75;12.13;12.04;16.5;6.08;11.85;18.28;13.28;13.85;20.0;14.81;20.0;12.31;14.4;;;;;;;
91;Siusan;Mollon;siusanmollon@supinfo.com;Distanciel;B.ENG 3;;11.2;14.04;14.39;15.99;11.63;17.42;10.9;21.67;13.19.0;10.7;14.92;8.8;17.87;15.77;14.03;10.05;14.98;;;;;;;;;;;;;;
189;Lola;Paskin;lolapaskin@supinfo.com;Distanciel;M.ENG 2;Systemes Reseaux et securité;;;;;;;;;;;;;;;;;;13.43;16.8;17.47;17.73;15.09;14.07;4.97;7.02;17.2;17.29;10.45;14.69;14.35;
99;Linoel;Abercrombie;linoelabercrombie@supinfo.com;Distanciel;;;15.5;5.7;10.18;18.38;10.84;18.89;11.26;7.44;16.53;11.68;17.96;10.4;10.8;9.6;5.24;18.85;12.44;14.56;17.39;17.68;12.06;13.5;6.2;14.5;;;;;;;
1676;Dar;Kimber;darkimber@supinfo.com;Distanciel;;;9.81;15.5;12.46;17.59;19.0;19.0;;;;;;;;;;;;;;;;;;;;;;;;;
1603;Trude;Snarie;trudesnarie@supinfo.com;Distanciel;;;6.08;12.33;5.34;12.91;1.91;14.76;16.94;17.62;6.8;13.11;13.53;16.08;17.04;15.22;16.57;8.24;12.31;11.84;16.83;16.44;14.52;17.35;10.53;11.84;;;;;;;
1563;Wilone;Kalewe;wilonekalewe@supinfo.com;Distanciel;;;13.37;19.0;10.07;11.64;14.3;10.76;;;;;;;;;;;;;;;;;;;;;;;;;
1237;Rosalinde;Livett;rosalindelivett@supinfo.com;Tours;;;16.17;19.0;10.68;13.9;8.61;14.38;8.11;19.0;10.51;8.02;8.77;8.86;17.32;9.12;18.73;12.88;13.1;12.66;13.85;17.28;13.1;13.34;9.56;13.42;;;;;;;
1086;Regine;Coom;reginecoom@supinfo.com;Distanciel;;;12.68;5.34;11.08;15.5;8.51;13.33;22.56;17.93;19.0;11.05;11.28;18.81;;;;;;;;;;;;;;;;;;;
656;Josefa;Caplen;josefacaplen@supinfo.com;Distanciel;;;13.38;11.18;10.11;6.86;12.77;12.36;0.92;12.43;11.37;11.09;10.68;12.06;;;;;;;;;;;;;;;;;;;
305;Maxi;Petruska;maxipetruska@supinfo.com;Caen;;;19.0;5.16;10.89;11.38;11.71;15.98;;;;;;;;;;;;;;;;;;;;;;;;;
147;Griffy;Allanson;griffyallanson@supinfo.com;Caen;;;17.12;13.39;10.7;15.79;11.98;15.98;;;;;;;;;;;;;;;;;;;;;;;;;
1163;Diego;McLernon;diegomclernon@supinfo.com;Distanciel;;;;;;;;;18.95;17.26;13.04;8.81;13.9;13.03;12.02;15.53;16.34;11.67;9.48;13.18;16.35;16.41;10.44;15.71;10.14;10.0;10.38;18.42;17.56;15.38;14.88;17.48;
553;Claudia;Wheaton;claudiawheaton@supinfo.com;Distanciel;;;16.23;16.28;10.04;8.05;14.44;15.19.0;5.4;17.14;13.7;9.96;13.28;15.35;21.46;12.27;0.0;15.89;17.74;11.57;15.28;15.99;13.57;20.0;8.6;16.24;;;;;;;
1778;Trace;Jayume;tracejayume@supinfo.com;Tours;;;8.52;12.16;12.94;17.56;15.33;12.77;14.33;15.02;6.16;6.24;19.0;12.59;;;;;;;;;;;;;;;;;;;
538;Galvan;Bunford;galvanbunford@supinfo.com;Distanciel;;;13.4;9.22;13.82;14.32;8.63;12.92;6.3;17.41;0.46;12.03;8.88;8.15;11.97;12.11;11.05;14.22;19.0;12.05;18.07;16.32;10.54;8.56;11.93;14.02;15.05;18.73;11.45;17.18;11.51;21.55;
596;Orelle;Cristofaro;orellecristofaro@supinfo.com;Distanciel;;;19.0;15.04;13.02;12.11;16.64;16.18;17.61;16.95;14.61;12.74;13.03;11.73;9.95;13.26;11.08;11.39;4.2;;;;;;;;;;;;;;
23;Gaye;Adamov;gayeadamov@supinfo.com;Distanciel;;;11.33;10.45;13.27;8.49;15.36;17.36;;;;;;;;;;;;;;;;;;;;;;;;;
859;Ilysa;Aujouanet;ilysaaujouanet@supinfo.com;Distanciel;;;15.5;15.05;10.26;12.15;13.05;15.23;6.08;18.53;18.25;14.56;13.61;13.3;16.44;11.72;9.53;15.37;17.68;16.34;16.55;15.06;13.73;15.42;5.52;13.44;8.11;17.34;12.27;13.68;12.23;15.62;
1918;Daisi;MacBey;daisimacbey@supinfo.com;Tours;;;14.64;12.77;7.11;7.07;7.14;17.53;;;;;;;;;;;;;;;;;;;;;;;;;
1382;Wren;Ancliff;wrenancliff@supinfo.com;Distanciel;;;16.23;19.0;13.69;9.43;16.44;12.19.0;10.51;10.49;10.15;10.04;14.94;6.14;;;;;;;;;;;;;;;;;;;
354;Ashlee;Gronav;ashleegronav@supinfo.com;Distanciel;;;8.22;10.3;9.36;8.26;14.51;14.14;11.18;11.14;5.7;5.74;12.88;11.4;17.8;12.15;15.56;14.98;7.54;16.05;18.35;15.37;9.82;19.0;8.56;13.7;14.03;21.17;13.0;13.61;10.34;15.48;
1598;Inna;Wankling;innawankling@supinfo.com;Distanciel;;;12.06;15.5;8.29;11.81;7.49;12.68;10.23;17.73;12.33;8.51;17.22;11.16;;;;;;;;;;;;;;;;;;;
1076;Claiborne;Jamrowicz;claibornejamrowicz@supinfo.com;Distanciel;;;9.56;14.16;11.32;7.65;10.66;16.0;8.86;12.67;11.19.0;18.64;6.85;16.58;;;;;;;;;;;;;;;;;;;
1007;Donall;Padgett;donallpadgett@supinfo.com;Distanciel;;;13.53;6.35;14.22;12.89;9.19.0;11.47;20.0;11.01;16.66;15.17;9.93;10.04;15.65;17.66;17.41;16.62;15.44;13.68;15.71;15.39;12.22;21.44;15.83;7.95;13.43;16.82;15.56;12.77;13.7;14.88;
1668;Kristoforo;McBrier;kristoforomcbrier@supinfo.com;Distanciel;;;12.07;9.92;11.78;10.62;6.72;15.36;9.47;13.19.0;25.07;7.15;14.14;7.71;8.35;9.1;16.47;17.34;0.0;11.5;15.55;19.0;8.25;16.39;13.03;16.2;;;;;;;
739;Nowell;Winters;nowellwinters@supinfo.com;Distanciel;;;18.7;12.07;13.33;2.24;18.32;15.89;11.85;13.55;5.59;15.43;17.4;7.93;15.01;18.61;7.16;8.38;15.12;;;;;;;;;;;;;;
1359;Florence;Sex;florencesex@supinfo.com;Distanciel;;;14.62;15.5;9.65;16.77;11.51;12.75;;;;;;;;;;;;;;;;;;;;;;;;;
1843;Jannel;Pierrepoint;jannelpierrepoint@supinfo.com;Tours;M.ENG 2;Systemes Reseaux et securité;15.5;15.6;13.35;15.5;7.97;13.6;4.34;16.54;6.34;8.86;10.76;15.31;15.9;10.63;5.83;11.87;11.39;12.63;16.43;15.37;9.32;12.53;7.07;9.57;9.09;15.56;14.98;12.35;13.54;13.32;
1468;Raine;Salsbury;rainesalsbury@supinfo.com;Distanciel;B.ENG 2;;15.5;19.0;13.36;5.28;11.55;14.86;15.09;18.55;19.0;9.07;12.26;10.66;;;;;;;;;;;;;;;;;;;
535;Arabel;Grigson;arabelgrigson@supinfo.com;Distanciel;M.ENG 1;Intelligence Artificielle;12.36;15.5;10.61;7.11;9.6;10.33;11.88;14.04;10.85;19.0;21.27;14.05;12.14;13.07;15.53;14.1;19.0;12.6;16.73;14.7;15.91;15.89;13.14;13.88;;;;;;;
1496;Burgess;Ferronet;burgessferronet@supinfo.com;Caen;;;7.78;19.0;9.59;11.54;18.7;16.71;12.31;13.93;17.22;4.11;13.29;18.77;11.72;10.79;14.26;11.09;14.42;12.09;14.61;18.99;9.32;12.63;16.04;16.86;13.15;18.93;18.92;14.38;12.63;8.06;
932;Wilek;Quadling;wilekquadling@supinfo.com;Distanciel;;;11.7;15.25;7.64;6.77;13.82;17.48;;;;;;;;;;;;;;;;;;;;;;;;;
1558;Carleton;Folkes;carletonfolkes@supinfo.com;Caen;;;;;;;;;12.01;9.67;16.73;6.2;5.67;12.56;;;;;;;;;;;;;;;;;;;
1685;Abey;Mozzi;abeymozzi@supinfo.com;Distanciel;;;10.75;10.91;14.84;15.14;11.68;18.0;19.0;16.21;6.68;16.75;13.46;15.8;11.25;11.63;8.1;10.06;21.82;13.19.0;11.44;16.22;13.67;15.27;4.29;14.29;;;;;;;
1359;Guy;Mickleburgh;guymickleburgh@supinfo.com;Distanciel;;;8.29;17.76;11.34;16.21;12.66;15.74;17.21;17.52;13.07;7.43;12.02;14.0;;;;;;;;;;;;;;;;;;;
1384;Alard;Glazer;alardglazer@supinfo.com;Distanciel;M.ENG 2;Systemes Reseaux et securité;;;;;;;;;;;;;;;;;;13.25;14.57;16.63;10.59;17.2;7.0;12.43;8.14;19.0;13.55;9.21;15.13;18.55;
300;Leeanne;Flewan;leeanneflewan@supinfo.com;Distanciel;B.ENG 3;;6.83;15.5;7.08;15.5;9.16;17.02;3.1;24.87;15.91;12.02;14.86;10.04;15.38;14.58;14.15;6.83;17.02;;;;;;;;;;;;;;
1948;Rosmunda;Frankiss;rosmundafrankiss@supinfo.com;Tours;B.ENG 3;;15.5;11.31;12.2;0;6.9;12.83;13.05;14.5;9.96;4.49;3.84;8.15;19.0;15.62;17.1;16.89;15.65;;;;;;;;;;;;;;
746;Inger;Denizet;ingerdenizet@supinfo.com;Distanciel;;;13.98;14.47;10.63;17.91;17.02;17.63;;;;;;;;;;;;;;;;;;;;;;;;;
626;Doria;Field;doriafield@supinfo.com;Caen;B.ENG 3;;12.39;16.76;7.14;13.99;9.23;14.77;8.06;20.0;14.17;12.06;9.08;15.06;14.7;15.5;16.24;19.0;16.89;;;;;;;;;;;;;;
1502;Jessalin;Seear;jessalinseear@supinfo.com;Distanciel;;;17.89;10.02;15.87;14.91;12.75;14.54;15.61;19.0;6.62;8.5;15.44;9.24;4.19.0;15.99;14.95;10.4;10.2;14.7;12.73;17.41;8.93;16.38;12.32;13.19.0;12.76;13.26;14.78;14.31;13.29;18.35;
1946;Richmound;Puddicombe;richmoundpuddicombe@supinfo.com;Distanciel;;;11.53;7.91;11.43;8.64;18.15;16.22;15.19.0;17.38;13.93;13.8;13.27;12.04;13.83;13.89;13.44;11.82;18.52;11.33;15.35;16.58;19.0;17.83;9.7;11.49;;;;;;;
1327;Levy;Kirkebye;levykirkebye@supinfo.com;Caen;;;18.29;15.5;15.52;4.49;13.14;15.5;10.33;15.62;11.94;9.59;13.95;8.56;;;;;;;;;;;;;;;;;;;
363;Bradly;Stendell;bradlystendell@supinfo.com;Caen;M.ENG 2;Intelligence Artificielle;10.08;9.05;10.1;15.5;11.43;16.05;8.84;10.28;18.91;10.96;14.28;18.85;7.49;20.0;3.19.0;12.46;13.93;13.63;16.44;14.25;7.05;16.85;15.64;15.14;16.05;13.87;10.51;10.37;12.76;17.33;
