first_name;last_name;date_of_birth;year_of_birth;street_address;email;gender;region;campus;age_of_entry;previous_level;entry_level;year_of_entry;year_of_exit;study_lenght;level_of_exit;still_student;level;contratPro;is_hired;lenght_month_hired;nbre_absence;speciality;company_hired;entreprise_alternance;entreprise_alternance_address;poste_occupe;secteur_activite_entreprise_alternance;date_debut_alternance
Rosalinde;Livett;06/09/1986;1986;714 Stoughton Plaza;rosalindelivett@supinfo.com;Male;Centre-Val de Loire;Tours;18;Bac;B.ENG 1;2004;2008;4;M.ENG 1;false;;false;true;3;0;;Wavestone;;;;;
Regine;Coom;03/01/1996;1996;66 Sugar Hill;reginecoom@supinfo.com;Female;Grand Est;Distanciel;16;Bac;B.ENG 1;2012;2014;2;B.ENG 2;false;;false;true;3;2;;Ubisoft;;;;;
Josefa;Caplen;31/03/1986;1986;15 Ridgeway Pass;josefacaplen@supinfo.com;Male;Grand Est;Distanciel;18;Bac;B.ENG 1;2004;2006;2;B.ENG 2;false;;false;true;3;2;;EDF;;;;;
Maxi;Petruska;04/04/1982;1982;1647 Washington Avenue;maxipetruska@supinfo.com;Female;Normandie;Caen;37;Bac;B.ENG 1;2019;2020;1;B.ENG 1;false;;false;true;4;4;;Carrefour;;;;;
Griffy;Allanson;05/12/1986;1986;553 Westend Drive;griffyallanson@supinfo.com;Male;Normandie;Caen;17;Bac;B.ENG 1;2003;2004;1;B.ENG 1;false;;false;true;4;2;;Ubisoft;;;;;
Diego;McLernon;12/10/1979;1979;80719 Reinke Terrace;diegomclernon@supinfo.com;Male;Bretagne;Distanciel;27;DUT;B.ENG 2;2006;2011;5;M.ENG 2;false;;false;true;3;6;;Wavestone;;;;;
Claudia;Wheaton;21/04/1992;1992;57 Morningstar Plaza;claudiawheaton@supinfo.com;Male;Pays de la Loire;Distanciel;17;Bac;B.ENG 1;2009;2013;4;M.ENG 1;false;;false;true;5;2;;Nextieraone;;;;;
Trace;Jayume;29/10/1986;1986;29 Tennessee Alley;tracejayume@supinfo.com;Male;Centre-Val de Loire;Tours;18;Bac;B.ENG 1;2004;2006;2;B.ENG 2;false;;false;;;0;;;;;;;
Galvan;Bunford;17/12/1987;1987;023 Schmedeman Avenue;galvanbunford@supinfo.com;Male;Pays de la Loire;Distanciel;23;Bac;B.ENG 1;2010;2015;5;M.ENG 2;false;;false;true;3;0;;Insight;;;;;
Orelle;Cristofaro;26/07/1990;1990;9591 Homewood Circle;orellecristofaro@supinfo.com;Male;Bretagne;Distanciel;17;Bac;B.ENG 1;2007;2010;3;B.ENG 3;false;;false;true;2;0;;Peugeot;;;;;
Gaye;Adamov;23/03/1988;1988;394 Summerview Crossing;gayeadamov@supinfo.com;Male;Bretagne;Distanciel;18;Bac;B.ENG 1;2006;2007;1;B.ENG 1;false;;false;true;3;1;;Dassault;;;;;
Ilysa;Aujouanet;23/09/1984;1984;0949 Old Gate Place;ilysaaujouanet@supinfo.com;Male;Hauts-de-France;Distanciel;18;Bac;B.ENG 1;2002;2007;5;M.ENG 2;false;;false;true;;2;;Huawei;;;;;
Daisi;MacBey;15/08/2002;2002;7547 Corben Trail;daisimacbey@supinfo.com;Male;Centre-Val de Loire;Tours;17;Bac;B.ENG 1;2019;2020;1;B.ENG 1;false;;false;true;3;0;;Dassault;;;;;
Wren;Ancliff;28/12/1993;1993;90468 Roxbury Parkway;wrenancliff@supinfo.com;Female;Grand Est;Distanciel;16;Bac;B.ENG 1;2009;2011;2;B.ENG 2;false;;false;true;4;2;;Peugeot;;;;;
Ashlee;Gronav;06/12/1977;1977;29765 Gateway Drive;ashleegronav@supinfo.com;Female;Corse;Distanciel;25;Bac;B.ENG 1;2002;2008;6;M.ENG 2;false;;false;false;;0;;;;;;;
Inna;Wankling;26/06/1984;1984;8 Haas Court;innawankling@supinfo.com;Male;Hauts-de-France;Distanciel;32;Bac;B.ENG 1;2016;2018;2;B.ENG 2;false;;false;true;4;0;;Cegedim;;;;;
Claiborne;Jamrowicz;11/06/1998;1998;1426 Vernon Drive;claibornejamrowicz@supinfo.com;Female;Grand Est;Distanciel;17;Bac;B.ENG 1;2015;;7;;true;;false;;;5;;;;;;;
Donall;Padgett;04/04/1998;1998;0915 Alpine Junction;donallpadgett@supinfo.com;Female;Pays de la Loire;Distanciel;17;Bac;B.ENG 1;2015;2020;5;M.ENG 2;false;;false;true;;2;;SCC;;;;;
Kristoforo;McBrier;04/10/1975;1975;994 Messerschmidt Avenue;kristoforomcbrier@supinfo.com;Male;Pays de la Loire;Distanciel;25;Licence;B.ENG 1;2000;2004;4;M.ENG 1;false;;false;true;2;3;;Atos;;;;;
Nowell;Winters;23/11/1998;1998;95 South Road;nowellwinters@supinfo.com;Female;Hauts-de-France;Distanciel;18;Bac;B.ENG 1;2016;2019;3;B.ENG 3;false;;false;true;;1;;Apple;;;;;
Florence;Sex;04/09/1985;1985;606 Tomscot Pass;florencesex@supinfo.com;Female;Hauts-de-France;Distanciel;25;Bac;B.ENG 1;2010;2011;1;B.ENG 1;false;;false;true;3;1;;Dassault;;;;;
Jannel;Pierrepoint;31/03/2000;2000;751 Oak Valley Road;jannelpierrepoint@supinfo.com;Female;Centre-Val de Loire;Tours;17;Bac;B.ENG 1;2017;;5;;true;M.ENG 2;true;;;4;Systemes Reseaux et securité;;HSBC;315 Spenser Way;;Banking;2020-11-15 06:51:07 UTC
Raine;Salsbury;14/07/1980;1980;360 Mifflin Avenue;rainesalsbury@supinfo.com;Male;Bretagne;Distanciel;40;Bac;B.ENG 1;2020;;2;;true;B.ENG 2;false;;;2;;;;;;;
Arabel;Grigson;27/05/2002;2002;7 Cordelia Parkway;arabelgrigson@supinfo.com;Female;Corse;Distanciel;16;Bac;B.ENG 1;2018;;4;;true;M.ENG 1;true;;;4;Intelligence Artificielle;;Samsung;46 Surrey Trail;;Industrie;2021-11-11 11:26:16 UTC
Burgess;Ferronet;11/06/1976;1976;1 Dennis Avenue;burgessferronet@supinfo.com;Female;Normandie;Caen;38;Bac;B.ENG 1;2014;2019;5;M.ENG 2;false;;false;true;2;2;;Toyota;;;;;
Wilek;Quadling;07/06/1975;1975;709 Moland Center;wilekquadling@supinfo.com;Female;Hauts-de-France;Distanciel;22;Bac;B.ENG 1;1997;1998;1;B.ENG 1;false;;false;;;3;;;;;;;
Carleton;Folkes;03/10/1980;1980;1769 Tony Junction;carletonfolkes@supinfo.com;Male;Normandie;Caen;25;DUT;B.ENG 2;2005;2006;1;B.ENG 2;false;;false;true;3;4;;BNP;;;;;
Abey;Mozzi;25/05/1985;1985;2 Thompson Way;abeymozzi@supinfo.com;Female;Hauts-de-France;Distanciel;23;Bac;B.ENG 1;2008;2012;4;M.ENG 1;false;;false;true;4;4;;Wavestone;;;;;
Guy;Mickleburgh;07/12/1976;1976;0413 Annamark Circle;guymickleburgh@supinfo.com;Female;Hauts-de-France;Distanciel;16;Bac;B.ENG 1;1992;1994;2;B.ENG 2;false;;false;true;2;4;;LaPoste;;;;;
Alard;Glazer;02/09/1999;1999;447 Nevada Terrace;alardglazer@supinfo.com;Female;Normandie;Distanciel;18;Master;M.ENG 1;2017;;5;;true;M.ENG 2;true;;;1;Systemes Reseaux et securité;;Sage;562 Fairfield Center;;Software;2020-11-15 02:27:47 UTC
Leeanne;Flewan;12/12/1993;1993;4 Lawn Plaza;leeanneflewan@supinfo.com;Male;Pays de la Loire;Distanciel;26;Bac;B.ENG 1;2019;;3;;true;B.ENG 3;false;;;2;;;;;;;
Rosmunda;Frankiss;19/05/2001;2001;38 Rigney Pass;rosmundafrankiss@supinfo.com;Male;Centre-Val de Loire;Tours;18;Bac;B.ENG 1;2019;;3;;true;B.ENG 3;false;;;3;;;;;;;
Inger;Denizet;19/12/2000;2000;714 Farmco Trail;ingerdenizet@supinfo.com;Female;Bretagne;Distanciel;17;Bac;B.ENG 1;2017;2018;1;B.ENG 1;false;;false;true;3;1;;Altran;;;;;
Doria;Field;04/03/1988;1988;83 Warrior Road;doriafield@supinfo.com;Male;Normandie;Caen;31;Bac;B.ENG 1;2019;;3;;true;B.ENG 3;false;;;3;;;;;;;
Jessalin;Seear;28/08/1982;1982;973 Westerfield Pass;jessalinseear@supinfo.com;Male;Bretagne;Distanciel;31;Bac;B.ENG 1;2013;2018;5;M.ENG 2;false;;false;true;4;1;;Axway;;;;;
Richmound;Puddicombe;31/03/1980;1980;9206 Fulton Drive;richmoundpuddicombe@supinfo.com;Female;Grand Est;Distanciel;17;Bac;B.ENG 1;1997;2001;4;M.ENG 1;false;;false;true;4;1;;Ubisoft;;;;;
Levy;Kirkebye;19/06/1990;1990;442 Holy Cross Avenue;levykirkebye@supinfo.com;Female;Normandie;Caen;18;Bac;B.ENG 1;2008;2010;2;B.ENG 2;false;;false;true;2;2;;Natixis;;;;;
Bradly;Stendell;30/04/1979;1979;0 Summit Crossing;bradlystendell@supinfo.com;Male;Normandie;Caen;38;Bac;B.ENG 1;2017;;5;;true;M.ENG 2;true;;;2;Intelligence Artificielle;;BNP;97809 Sundown Drive;;Banking;2020-11-08 19:17:45 UTC
